epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0418,0.96727,3.17605,1.10755,0.00431,0.40625,0.21967,0.16643,0.88384,3.44053,1.06981,0.00025005,0.00025005,0.00025005
2,161.522,0.93675,1.96832,1.08018,0.91719,0.11248,0.21688,0.17173,1.03782,3.13584,1.15047,0.000506538,0.000506538,0.000506538
3,242.087,0.98836,1.74997,1.10585,1,0.01753,0.15075,0.10874,1.30093,3.67596,1.38723,0.000752464,0.000752464,0.000752464
4,322.728,1.07472,1.72267,1.12711,0.91773,0.11337,0.23123,0.1706,1.18009,3.1532,1.24374,0.000987828,0.000987828,0.000987828
5,403.414,1.04334,1.63851,1.1097,0.89557,0.08036,0.19649,0.12669,1.36549,3.26163,1.31994,0.00121263,0.00121263,0.00121263
6,483.437,1.09285,1.72271,1.14939,0.79929,0.23214,0.23379,0.15337,1.39824,2.8158,1.42004,0.00142687,0.00142687,0.00142687
7,562.744,1.11469,1.61927,1.15653,0.84027,0.23661,0.27704,0.19038,1.48158,2.64655,1.74569,0.00146896,0.00146896,0.00146896
8,642.13,1.07099,1.48477,1.15752,0.7965,0.30573,0.28948,0.20514,1.17923,2.16585,1.25294,0.00143595,0.00143595,0.00143595
9,721.357,1.00752,1.46882,1.12271,0.85274,0.23526,0.28483,0.19691,1.27172,2.2879,1.33155,0.00140295,0.00140295,0.00140295
10,800.815,1.05992,1.40375,1.15011,0.83923,0.25446,0.23763,0.1629,1.35248,2.40014,1.44456,0.00136994,0.00136994,0.00136994
11,880.169,1.08805,1.44894,1.19317,0.72286,0.21429,0.18776,0.13637,1.39959,2.59021,1.54422,0.00133693,0.00133693,0.00133693
12,959.461,1.02868,1.31957,1.14162,0.7544,0.14799,0.15307,0.10115,1.8413,2.95443,1.90087,0.00130393,0.00130393,0.00130393
13,1038.11,0.99522,1.27117,1.13479,0.84566,0.25893,0.25912,0.18318,1.40839,2.16834,1.43478,0.00127092,0.00127092,0.00127092
